Notes: ,,,,,,,
AMCP20-22: Average Market Clearing Price 2020-2022,,,,,,,
C2021:  % Change in price between 2020-21 ,,,,,,,
C2022: % Change in price between 2020-22,,,,,,,
,,,,,,,
Zone,Month,AMCP20,AMCP21,AMCP22,C2021,C2122,C2022
AT,1,40.69321237,57.68081989,189.1637634,41.75,227.95,364.85
AT,2,29.08622126,50.38852679,167.8047768,73.24,233.02,476.92
AT,3,24.60185484,53.65358871,282.6256989,118.09,426.76,1048.8
AT,4,18.26313889,60.08444444,186.4095556,228.99,210.25,920.69
AT,5,17.53224462,54.81016129,184.5189516,212.62,236.65,952.45
AT,6,26.58701389,74.33747222,224.2082421,179.6,201.61,743.3
BE,1,37.84715054,57.44375,191.5624462,51.78,233.48,406.15
BE,2,28.3562069,48.5677381,162.6374851,71.28,234.87,473.55
BE,3,24.02264785,46.62759409,265.5127016,94.1,469.43,1005.26
BE,4,14.67991667,57.03651389,186.7178056,288.53,227.37,1171.93
BE,5,15.40860215,55.61337366,176.6657124,260.92,217.67,1046.54
BE,6,25.59002778,74.49495833,214.65317,191.11,188.14,738.82
BG,1,107.54625,103.9837903,293.7306183,-3.31,182.48,173.12
BG,2,80.98270115,91.66559524,187.5437054,13.19,104.6,131.58
BG,3,55.29873656,101.8576882,248.9499597,84.2,144.41,350.19
BG,4,48.56090278,120.761375,174.5199167,148.68,44.52,259.38
BG,5,45.68556452,117.3968011,201.8031317,156.97,71.9,341.72
BG,6,59.64818056,150.9174861,218.6398415,153.01,44.87,266.55
CZ,1,41.81123656,56.15735215,179.7228495,34.31,220.03,329.84
CZ,2,30.53788793,50.67677083,155.027381,65.95,205.91,407.66
CZ,3,25.41477151,53.73635753,259.8207392,111.44,383.51,922.32
CZ,4,19.24386111,60.27701389,174.3549861,213.23,189.26,806.03
CZ,5,18.09646505,59.28520161,189.0202957,227.61,218.83,944.52
CZ,6,26.34293056,75.14163889,220.9747983,185.24,194.08,738.84
DE_LU,1,34.97870968,52.79319892,167.8745565,50.93,217.99,379.93
DE_LU,2,21.91183908,48.70690476,128.7774107,122.29,164.39,487.71
DE_LU,3,22.51931452,47.18168011,251.7597849,109.52,433.6,1017.97
DE_LU,4,17.04919444,53.65715278,166.0018194,214.72,209.38,873.66
DE_LU,5,17.60487903,53.33150538,177.5061828,202.94,232.84,908.28
DE_LU,6,26.22916667,74.13072222,214.33,182.63,189.12,717.14
DK_1,1,24.94971774,50.19208333,118.1165591,101.17,135.33,373.42
DK_1,2,17.58505747,47.26346726,113.111756,168.77,139.32,543.23
DK_1,3,18.25127688,45.11735215,235.7164113,147.2,422.45,1191.51
